ANID,Alternate ID,Material,Sample Type,Investigator,Institution,Source/Excavator/Museum,Region,Country,State/Province,County/District,Local Subregion,Site Name,Site Number,Description,Geological Formation,Rock Name,Culture,Context,Provenance,UTM Zone,Northing,Easting,Comments,Spare ANID,As,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
FBL001,HD-18A,rhyolite,source,"Steponaitis, Vincas",University of North Carolina,,North America: Southeast,USA,North Carolina,Montgomery,Uwharries Eastern,Shingle Trap Mountain,31MG554,Nodule,Tillery,"Rhylolite, Felsite, Metavolcanic",,Geological: Primary,Outcrop/Float,NAD27,3917872,587452,plag-qtz phyric rhyolite,FBL001,0.0000,34.1718,0.9145,29.9366,8.0002,2.7388,6.1485,68.6225,0.4821,0.000,0.6726,1.1048,10566.5,5.9485,0.00,86.77,0.1316,5.0593,65.75,0.6681,1.2463,9.4262,33.65,136.59,59099.7,489.1,6548.8,7.1500 ,24507.6,457.06 ,25157.0,511.8,0.00 
FBL002,HD-18A*,rhyolite,source,"Steponaitis, Vincas",University of North Carolina,,North America: Southeast,USA,North Carolina,Montgomery,Uwharries Eastern,Shingle Trap Mountain,31MG554,Nodule,Tillery,"Rhylolite, Felsite, Metavolcanic",,Geological: Primary,Float,NAD27,3918056,587342,plag-qtz phyric rhyolite,FBL002,0.0000,29.4797,1.0767,28.1251,7.6624,2.9442,7.1037,63.3446,0.2832,0.000,0.5593,1.0342,8613.9,6.0664,0.00,86.36,0.0653,5.2723,0.00,0.6751,1.2727,9.7202,47.47,135.40,59308.3,524.9,2932.3,7.6519 ,24149.9,261.07 ,28468.5,524.5,0.00 
FBL003,HD-18B,rhyolite,source,"Steponaitis, Vincas",University of North Carolina,,North America: Southeast,USA,North Carolina,Montgomery,Uwharries Eastern,Shingle Trap Mountain,31MG554,Nodule,Tillery,"Rhylolite, Felsite, Metavolcanic",,Geological: Primary,Outcrop/Float,NAD27,3918363,586781,plag-qtz phyric rhyolite,FBL003,0.0000,36.4687,1.2157,29.9430,9.4397,1.9122,8.3757,75.8948,0.5704,0.000,0.6330,1.2359,12241.5,6.2721,0.00,117.90,0.0711,5.7092,44.71,0.6798,1.6550,9.9092,68.45,123.24,55544.8,677.7,3103.6,9.5308 ,27509.4,519.65 ,22641.0,0.0,0.00 
FBL004,HD-18B*,rhyolite,source,"Steponaitis, Vincas",University of North Carolina,,North America: Southeast,USA,North Carolina,Montgomery,Uwharries Eastern,Shingle Trap Mountain,31MG554,Nodule,Tillery,"Rhylolite, Felsite, Metavolcanic",,Geological: Primary,Float,NAD27,3918121,586929,plag-qtz phyric rhyolite,FBL004,1.4379,20.7883,0.8867,20.7458,6.2318,2.5710,6.0268,46.3665,0.3067,0.000,1.2750,0.8198,8606.7,6.5561,0.00,68.75,0.0799,4.2489,0.00,0.7035,1.1193,10.3601,10.64,121.55,57835.3,422.5,1549.8,6.6454 ,16164.2,230.70 ,31515.1,840.0,0.00 
FBL005,HD-19,rhyolite,source,"Steponaitis, Vincas",University of North Carolina,,North America: Southeast,USA,North Carolina,Stanly,Uwharries Eastern,Sugarloaf West (RLA#: 31ST68),31ST169,Nodule,Tillery,"Rhylolite, Felsite, Metavolcanic",,Geological: Primary,Outcrop/Float,NAD27,3914124,582758,plag-qtz phyric rhyolite,FBL005,18.4730,33.8809,1.1492,35.7893,9.5351,1.9428,7.9288,74.9068,0.3336,0.765,0.9886,0.6586,8146.5,5.6316,0.00,68.16,0.1872,5.2184,0.00,0.6807,1.5313,11.8062,47.76,116.69,56622.9,539.0,1759.0,9.3244 ,21535.1,120.54 ,28625.9,696.6,0.00 
FBL006,HD-21,rhyolite,source,"Steponaitis, Vincas",University of North Carolina,,North America: Southeast,USA,North Carolina,Stanly,Uwharries Eastern,Sugarloaf Mountain (RLA#: 31ST66),31ST107,Nodule,Tillery,"Rhylolite, Felsite, Metavolcanic",,Geological: Primary,Outcrop/Float,NAD27,3913852,583741,plag-qtz phyric rhyolite,FBL006,0.0000,30.7751,1.1613,27.2811,8.1709,2.9731,7.5586,65.7238,0.3484,0.000,0.3694,0.9771,10076.0,6.1881,0.00,58.00,0.0756,5.3602,71.50,0.6718,1.3666,9.8435,47.33,130.11,56733.6,493.8,2583.1,7.9444 ,17155.6,391.30 ,29612.9,387.8,0.00 
FBL007,HD-22,rhyolite,source,"Steponaitis, Vincas",University of North Carolina,,North America: Southeast,USA,North Carolina,Stanly,Uwharries Eastern,Hattaway Mountain (RLA#: 31ST67),31ST168,Nodule,Tillery,"Rhylolite, Felsite, Metavolcanic",,Geological: Primary,Outcrop/Float,NAD27,3914765,583453,plag-qtz phyric rhyolite,FBL007,0.0000,27.5474,0.7999,21.2276,6.3725,1.6947,5.2547,47.9091,0.3771,0.000,0.7731,0.7769,7566.7,5.9833,0.00,100.52,0.0581,3.9895,38.03,0.6294,0.9452,9.3512,32.37,132.25,57025.9,597.2,1611.1,5.2076 ,30126.5,230.71 ,22068.7,249.7,0.00 
FBL008,HD-4A,rhyolite,source,"Steponaitis, Vincas",University of North Carolina,,North America: Southeast,USA,North Carolina,Montgomery,Uwharries Western,Falls Dam,,Nodule,Cid,"Rhylolite, Felsite, Metavolcanic",,Geological: Primary,Outcrop/Float,NAD27,3916984,583805,plag-phyric rhyolite,FBL008,1.5587,26.3780,1.0376,29.6676,8.0414,2.5858,7.1898,59.5179,0.5441,0.000,1.0540,1.1881,12697.1,7.0255,0.00,79.73,0.5279,7.8578,0.00,0.5441,1.4942,8.7867,53.33,164.58,52835.7,406.8,4679.9,8.0096 ,20214.6,267.28 ,24118.0,962.9,0.00 
FBL009,HD-8,rhyolite,source,"Steponaitis, Vincas",University of North Carolina,,North America: Southeast,USA,North Carolina,Montgomery,Uwharries Western,Wolf Den 639,31MG639,Nodule,Cid,"Rhylolite, Felsite, Metavolcanic",,Geological: Primary,Outcrop/Float,NAD27,3918067,584251,plag-phyric rhyolite,FBL009,0.0000,24.9290,0.9701,23.8173,7.5791,2.2221,6.6085,55.6577,0.5709,0.000,2.1393,1.1492,13058.0,6.5100,0.00,92.62,0.6573,7.4387,75.28,0.5565,1.3117,8.4332,52.95,146.51,53169.4,400.4,3245.8,7.9057 ,24900.5,383.04 ,22276.7,610.5,0.00 
FBL010,HD-9*,rhyolite,source,"Steponaitis, Vincas",University of North Carolina,,North America: Southeast,USA,North Carolina,Montgomery,Uwharries Western,Wolf Den 639,31MG639,Nodule,Cid,"Rhylolite, Felsite, Metavolcanic",,Geological: Primary,Outcrop/Float,NAD27,3917939,584300,plag-phyric rhyolite,FBL010,0.7698,23.8857,1.0713,19.5504,7.4244,2.5390,6.9708,53.9508,0.6258,0.000,0.7298,0.9971,12272.8,6.6306,0.00,58.04,0.1557,6.2977,0.00,0.5419,1.3762,8.5962,55.88,152.84,50934.6,401.2,2991.7,7.8360 ,15225.8,374.66 ,25496.0,620.6,0.00 
