"","Sample","Quarry_Zone","Quarry_Zone_Group","PC1","PC2","PC3","PC4","PC5"
"1","FBL001","Uwharries Eastern","Uwharries.1",-0.568846986689075,0.133498076983754,0.325547313136557,-0.0971752338406238,-0.159083689155524
"2","FBL002","Uwharries Eastern","Uwharries.1",-0.837353038405792,0.145042458226175,0.336426108073825,-0.388239889909738,0.145360667406696
"3","FBL003","Uwharries Eastern","Uwharries.1",-2.17504691726347,0.370338648696607,-1.65356990098729,0.670132588609246,-0.62617232504178
"4","FBL004","Uwharries Eastern","Uwharries.1",-0.7435809731204,0.134718233479825,0.354072237971891,-0.675442337050747,0.418102431171443
"5","FBL005","Uwharries Eastern","Uwharries.1",-0.88276347954093,0.0608292992008623,0.453771072503426,-0.399818436854752,0.119479654952458
"6","FBL006","Uwharries Eastern","Uwharries.1",-0.776600103870336,0.0492463760961792,0.0980294388884156,-0.456883166604581,0.0484195468915239
"7","FBL007","Uwharries Eastern","Uwharries.1",-1.06804773385552,0.349929913226231,0.0832039454853431,-0.308665884993491,0.363699961619308
"8","FBL008","Uwharries Western","Uwharries.1",-0.384132865658141,0.013540343814481,0.529646084252817,-0.0903679841290782,-0.232077122791159
"9","FBL009","Uwharries Western","Uwharries.1",-0.508292621012904,0.120769161244493,0.403497465994531,0.101659290654873,-0.144712712037833
"10","FBL010","Uwharries Western","Uwharries.1",-0.443934813795124,0.0428094231548036,0.213246225622703,-0.318258934144865,-0.0363245060375978
"11","FBL011","Uwharries Western","Uwharries.1",-0.476055027772521,0.128237215648915,0.427883096112388,-0.17781510377688,-0.0817312926488609
"12","FBL012","Uwharries Western","Uwharries.1",-0.429745186505583,0.0675121873203574,0.41769127030689,-0.258820636660572,-0.186182826986915
"13","FBL013","Uwharries Western","Uwharries.1",-0.445793499553949,-0.325338974375449,-0.0716777564569323,-0.603474619146812,0.270914294215348
"14","FBL014","Uwharries Western","Uwharries.1",0.00522190070300399,0.239498726547775,0.593433737891416,-0.0724943211725227,-0.104803479838566
"15","FBL015","Uwharries Southern","Uwharries.1",-0.783417214026482,0.187115197065482,0.115125352234213,-0.429027457149691,0.169665910883181
"16","FBL016","Uwharries Southern","Uwharries.1",-0.876792354785126,0.286341539335957,0.28743363494652,-0.285676910213553,0.368789735623806
"17","FBL017","Uwharries Southern","Uwharries.1",-0.845178956521605,0.277463648976661,0.00511827284718986,-0.123608733395868,-0.0273276776652115
"18","FBL018","Uwharries Southern","Uwharries.1",-0.599927962278421,0.199919211450968,0.287249234606195,-0.251904256933381,0.186780908124937
"19","FBL019","Uwharries Southern","Uwharries.1",-0.758931110519965,0.0642439257907116,0.0579061408998532,-0.39644453311458,0.149885367177115
"20","FBL020","Uwharries Asheboro","Uwharries.2",0.6838973338146,0.427983481999132,0.256650778252899,0.16630875742021,-0.152782880842494
"21","FBL021","Uwharries Asheboro","Uwharries.2",-0.0705360172260956,0.324962609745344,0.212516227270703,-0.498953356543218,0.23166539617367
"22","FBL022","Uwharries Asheboro","Uwharries.2",-0.0206072817720761,0.157590598744682,0.038867789993423,-0.643749735702718,0.143872285489687
"23","FBL023","Uwharries Asheboro","Uwharries.2",0.22552032998737,0.226022375420616,-0.192368866898894,-0.654489918951035,0.241619107726312
"24","FBL024","Uwharries Asheboro","Uwharries.2",0.804444909055998,-0.0784266592221089,-0.22789861844802,-0.257264382388426,-0.273930757652401
"25","FBL025","Uwharries Southeastern","Uwharries.1",-0.842426590287717,0.491578084999726,0.243772035764373,-0.279323276991647,0.392878149311383
"26","FBL026","Uwharries Southeastern","Uwharries.1",-2.0568347148892,0.543675804738388,-1.77721406745686,0.742364928536071,-0.395555739115769
"27","FBL027","Chatham Pittsboro","Chatham.1",-0.629637585396654,0.590023259008893,0.505312221474604,0.209362534980176,-0.0169070028815203
"28","FBL028","Chatham Pittsboro","Chatham.1",-0.353910023913682,0.962504537959216,1.19715041608621,0.691724185565954,-0.3298801379185
"29","FBL029","Chatham Pittsboro","Chatham.1",-0.047199385881741,0.461144926748629,0.741109555393348,0.495695897729956,-0.288731883003711
"30","FBL030","Chatham Pittsboro","Chatham.1",-0.0829561400521227,-0.240005575579916,0.452190904480966,0.242715914670045,-1.13674527144663
"31","FBL031","Chatham Silk Hope","Chatham.2",-0.522622634168793,-2.610082277319,0.737929781400725,0.71652513443426,0.36544449210976
